coefficient,wake_iter,value,reference_wake_iter,reference_value,difference_from_reference,relative_difference_from_reference
CL_Base,3,0.8702026,20,0.8701364,6.620000000001625e-05,7.608002607409165e-05
CL_Base,4,0.8701769,20,0.8701364,4.049999999999887e-05,4.654442682779259e-05
CL_Base,5,0.8701623,20,0.8701364,2.5900000000023127e-05,2.9765448267677488e-05
CL_Base,6,0.8701611,20,0.8701364,2.469999999998862e-05,2.8386354139406902e-05
CL_Base,7,0.8701564,20,0.8701364,2.0000000000020002e-05,2.2984902137205158e-05
CL_Base,8,0.8701512,20,0.8701364,1.4799999999981495e-05,1.700882758149354e-05
CL_Base,9,0.8701483,20,0.8701364,1.1899999999953614e-05,1.3676016771570082e-05
CL_Base,10,0.8701452,20,0.8701364,8.799999999919983e-06,1.0113356940268195e-05
CL_Base,12,0.8701419,20,0.8701364,5.499999999991623e-06,6.320848087715469e-06
CL_Base,15,0.870139,20,0.8701364,2.5999999999637424e-06,2.988037277792013e-06
CL_Base,20,0.8701364,20,0.8701364,0.0,0.0
CMm_Alpha,3,-2.1550686,20,-1.7800868,-0.3749817999999998,0.21065366025971305
CMm_Alpha,4,-1.902769,20,-1.7800868,-0.12268219999999985,0.0689192234895511
CMm_Alpha,5,-1.8325423,20,-1.7800868,-0.05245549999999999,0.029467945046275264
CMm_Alpha,6,-1.7868342,20,-1.7800868,-0.006747399999999848,0.003790489317711837
CMm_Alpha,7,-1.7798651,20,-1.7800868,0.00022169999999999135,-0.000124544488504713
CMm_Alpha,8,-1.7789994,20,-1.7800868,0.0010874000000000716,-0.0006108690879568746
CMm_Alpha,9,-1.7777349,20,-1.7800868,0.0023519000000000734,-0.0013212277064242447
CMm_Alpha,10,-1.7785135,20,-1.7800868,0.0015732999999999997,-0.0008838333052073638
CMm_Alpha,12,-1.7787526,20,-1.7800868,0.0013342000000000631,-0.0007495140124627984
CMm_Alpha,15,-1.7798457,20,-1.7800868,0.0002410999999999941,-0.00013544283346182562
CMm_Alpha,20,-1.7800868,20,-1.7800868,0.0,-0.0
CMm_q,3,-22.7604023,20,-24.9223286,2.161926300000001,-0.0867465610737514
CMm_q,4,-24.8611208,20,-24.9223286,0.06120780000000181,-0.0024559422589429227
CMm_q,5,-24.9069612,20,-24.9223286,0.01536739999999881,-0.0006166117238338158
CMm_q,6,-24.9211731,20,-24.9223286,0.0011554999999994209,-4.636404641576794e-05
CMm_q,7,-24.9231609,20,-24.9223286,-0.0008322999999990088,3.339575580425534e-05
CMm_q,8,-24.9229006,20,-24.9223286,-0.0005719999999982406,2.295130640393854e-05
CMm_q,9,-24.920396,20,-24.9223286,0.001932599999999951,-7.754492090277435e-05
CMm_q,10,-24.9201881,20,-24.9223286,0.0021404999999994345,-8.588683803805694e-05
CMm_q,12,-24.9182851,20,-24.9223286,0.004043500000001643,-0.00016224406895917594
CMm_q,15,-24.9158275,20,-24.9223286,0.006501100000001259,-0.00026085443717330887
CMm_q,20,-24.9223286,20,-24.9223286,0.0,-0.0
CMl_Beta,3,-0.1287463,20,-0.1653253,0.036579,-0.221254702093388
CMl_Beta,4,-0.1749838,20,-0.1653253,-0.009658499999999987,0.05842118538420911
CMl_Beta,5,-0.1685982,20,-0.1653253,-0.0032728999999999953,0.019796728026502872
CMl_Beta,6,-0.1661585,20,-0.1653253,-0.0008331999999999784,0.00503976100451642
CMl_Beta,7,-0.1654457,20,-0.1653253,-0.00012039999999999274,0.0007282611917231829
CMl_Beta,8,-0.1656385,20,-0.1653253,-0.0003131999999999857,0.001894446887439404
CMl_Beta,9,-0.1649816,20,-0.1653253,0.00034370000000000234,-0.0020789316577680627
CMl_Beta,10,-0.1658203,20,-0.1653253,-0.0004949999999999954,0.002994097092217558
CMl_Beta,12,-0.1653516,20,-0.1653253,-2.6299999999979118e-05,0.00015908031015204036
CMl_Beta,15,-0.1653226,20,-0.1653253,2.700000000022129e-06,-1.6331438684957047e-05
CMl_Beta,20,-0.1653253,20,-0.1653253,0.0,-0.0
CMl_p,3,-0.7825571,20,-0.7709759,-0.011581199999999958,0.015021481216209167
CMl_p,4,-0.7802649,20,-0.7709759,-0.009288999999999992,0.012048366232978218
CMl_p,5,-0.7795683,20,-0.7709759,-0.008592399999999945,0.011144836044810149
CMl_p,6,-0.7793956,20,-0.7709759,-0.008419699999999919,0.01092083423100504
CMl_p,7,-0.7793079,20,-0.7709759,-0.008332000000000006,0.010807082296606166
CMl_p,8,-0.7791588,20,-0.7709759,-0.008182899999999993,0.010613691037553823
CMl_p,9,-0.7790582,20,-0.7709759,-0.008082299999999987,0.010483207062633199
CMl_p,10,-0.7789297,20,-0.7709759,-0.0079537999999999,0.010316535186119176
CMl_p,12,-0.7787066,20,-0.7709759,-0.007730699999999979,0.010027161679113418
CMl_p,15,-0.7782712,20,-0.7709759,-0.0072953000000000046,0.009462422885073325
CMl_p,20,-0.7709759,20,-0.7709759,0.0,-0.0
CMn_Beta,3,-0.0052769,20,-0.0053892,0.00011230000000000007,-0.020837972240777866
CMn_Beta,4,-0.0078368,20,-0.0053892,-0.0024475999999999994,0.45416759444815546
CMn_Beta,5,-0.0053396,20,-0.0053892,4.960000000000034e-05,-0.009203592369925098
CMn_Beta,6,-0.005472,20,-0.0053892,-8.280000000000006e-05,0.015364061456245836
CMn_Beta,7,-0.0048387,20,-0.0053892,0.0005505000000000006,-0.10214874192830116
CMn_Beta,8,-0.0054184,20,-0.0053892,-2.920000000000006e-05,0.005418243895197814
CMn_Beta,9,-0.0056444,20,-0.0053892,-0.0002551999999999997,0.04735396719364649
CMn_Beta,10,-0.0056423,20,-0.0053892,-0.0002531,0.046964298968306985
CMn_Beta,12,-0.0054207,20,-0.0053892,-3.149999999999941e-05,0.005845023380093411
CMn_Beta,15,-0.0054521,20,-0.0053892,-6.289999999999941e-05,0.011671491130408856
CMn_Beta,20,-0.0053892,20,-0.0053892,0.0,-0.0
CMn_r,3,-0.0115461,20,-0.011566,1.989999999999978e-05,-0.0017205602628393376
CMn_r,4,-0.0114599,20,-0.011566,0.0001060999999999996,-0.00917343939131935
CMn_r,5,-0.0115438,20,-0.011566,2.2199999999999998e-05,-0.0019194189866851114
CMn_r,6,-0.011605,20,-0.011566,-3.900000000000084e-05,0.0033719522739063495
CMn_r,7,-0.011604,20,-0.011566,-3.799999999999984e-05,0.0032854919591907175
CMn_r,8,-0.0116042,20,-0.011566,-3.8200000000000386e-05,0.003302784022133874
CMn_r,9,-0.011601,20,-0.011566,-3.500000000000031e-05,0.0030261110150441215
CMn_r,10,-0.0116147,20,-0.011566,-4.870000000000048e-05,0.00421061732664711
CMn_r,12,-0.0115874,20,-0.011566,-2.1399999999999544e-05,0.0018502507349126356
CMn_r,15,-0.0115592,20,-0.011566,6.799999999999515e-06,-0.0005879301400656679
CMn_r,20,-0.011566,20,-0.011566,0.0,-0.0
CS_Beta,3,-0.1421609,20,-0.136717,-0.0054439000000000015,0.039818749679995914
CS_Beta,4,-0.1317596,20,-0.136717,0.004957400000000001,-0.03626030413189289
CS_Beta,5,-0.1379162,20,-0.136717,-0.0011991999999999836,0.008771403702538701
CS_Beta,6,-0.1367234,20,-0.136717,-6.399999999989747e-06,4.681202776530897e-05
CS_Beta,7,-0.1367051,20,-0.136717,1.1900000000009126e-05,-8.704111412632757e-05
CS_Beta,8,-0.1367866,20,-0.136717,-6.960000000000299e-05,0.0005090808019485725
CS_Beta,9,-0.1366973,20,-0.136717,1.9700000000011375e-05,-0.00014409327296540574
CS_Beta,10,-0.1369612,20,-0.136717,-0.00024419999999999997,0.0017861714344229317
CS_Beta,12,-0.1367556,20,-0.136717,-3.8599999999999746e-05,0.0002823350424599702
CS_Beta,15,-0.1367231,20,-0.136717,-6.0999999999811205e-06,4.46177139637435e-05
CS_Beta,20,-0.136717,20,-0.136717,0.0,-0.0
CMl_ConGrp_3,3,0.0064406,20,0.0002385,0.0062021,26.00461215932914
CMl_ConGrp_3,4,-0.0037321,20,0.0002385,-0.0039705999999999995,-16.648218029350105
CMl_ConGrp_3,5,0.0001115,20,0.0002385,-0.000127,-0.5324947589098532
CMl_ConGrp_3,6,0.0002606,20,0.0002385,2.2099999999999995e-05,0.09266247379454924
CMl_ConGrp_3,7,0.0003156,20,0.0002385,7.709999999999998e-05,0.32327044025157226
CMl_ConGrp_3,8,0.0002942,20,0.0002385,5.57e-05,0.23354297693920334
CMl_ConGrp_3,9,0.0001892,20,0.0002385,-4.9300000000000006e-05,-0.2067085953878407
CMl_ConGrp_3,10,0.0002375,20,0.0002385,-9.999999999999972e-07,-0.004192872117400407
CMl_ConGrp_3,12,0.0002215,20,0.0002385,-1.7000000000000007e-05,-0.07127882599580716
CMl_ConGrp_3,15,0.0002521,20,0.0002385,1.3600000000000005e-05,0.05702306079664572
CMl_ConGrp_3,20,0.0002385,20,0.0002385,0.0,0.0
CMn_ConGrp_3,3,-0.0108108,20,-0.0106067,-0.00020410000000000046,0.019242554234587615
CMn_ConGrp_3,4,-0.0106921,20,-0.0106067,-8.539999999999937e-05,0.008051514608690673
CMn_ConGrp_3,5,-0.0105918,20,-0.0106067,1.4899999999999983e-05,-0.0014047724551462738
CMn_ConGrp_3,6,-0.010604,20,-0.0106067,2.6999999999995777e-06,-0.0002545560824761309
CMn_ConGrp_3,7,-0.0106101,20,-0.0106067,-3.4000000000006247e-06,0.00032055210385894053
CMn_ConGrp_3,8,-0.0106061,20,-0.0106067,5.999999999999062e-07,-5.656801832802909e-05
CMn_ConGrp_3,9,-0.0106042,20,-0.0106067,2.5000000000007655e-06,-0.00023570007636689692
CMn_ConGrp_3,10,-0.0106078,20,-0.0106067,-1.1000000000004062e-06,0.00010370803360144119
CMn_ConGrp_3,12,-0.0106062,20,-0.0106067,5.000000000005e-07,-4.714001527341209e-05
CMn_ConGrp_3,15,-0.0106072,20,-0.0106067,-5.000000000005e-07,4.714001527341209e-05
CMn_ConGrp_3,20,-0.0106067,20,-0.0106067,0.0,-0.0
