wake_iter,passed,case_dir,vsp3_path,errors,warnings,elapsed_s,total_elapsed_s,compute_geometry_elapsed_s,vspaero_sweep_elapsed_s,result_extraction_elapsed_s,stab_path,Sref,Cref,Bref,Vinf,rho,AoA_deg,Beta_deg,control_groups,CL_Base,CL_Alpha,CL_Beta,CL_p,CL_q,CL_r,CL_Mach,CL_U,CL_ConGrp_1,CL_ConGrp_2,CL_ConGrp_3,CD_Base,CD_Alpha,CD_Beta,CD_p,CD_q,CD_r,CD_Mach,CD_U,CD_ConGrp_1,CD_ConGrp_2,CD_ConGrp_3,CS_Base,CS_Alpha,CS_Beta,CS_p,CS_q,CS_r,CS_Mach,CS_U,CS_ConGrp_1,CS_ConGrp_2,CS_ConGrp_3,CMl_Base,CMl_Alpha,CMl_Beta,CMl_p,CMl_q,CMl_r,CMl_Mach,CMl_U,CMl_ConGrp_1,CMl_ConGrp_2,CMl_ConGrp_3,CMm_Base,CMm_Alpha,CMm_Beta,CMm_p,CMm_q,CMm_r,CMm_Mach,CMm_U,CMm_ConGrp_1,CMm_ConGrp_2,CMm_ConGrp_3,CMn_Base,CMn_Alpha,CMn_Beta,CMn_p,CMn_q,CMn_r,CMn_Mach,CMn_U,CMn_ConGrp_1,CMn_ConGrp_2,CMn_ConGrp_3
3,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_003,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_003\vv_0p00600_wtip_1p50000.vsp3,[],[],72.61994120001327,72.61854359996505,0.2973972000181675,72.14898749999702,0.000950200017541647,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_003\vv_0p00600_wtip_1p50000.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.8702026,6.0910627,0.1175078,-0.0008174,4.8653457,0.0082067,0.1236062,0.0123606,0.0173227,0.1852507,0.0171868,0.0217926,0.1535309,0.0020153,-0.0182758,-1.3084952,9.87e-05,0.003282,0.0003282,0.0004881,0.0011161,0.000377,-6.53e-05,-0.0106226,-0.1421609,-0.3463399,-0.0006343,0.1285251,0.000154,1.54e-05,-0.0825584,0.0032742,0.0615746,3e-07,0.0397399,-0.1287463,-0.7825571,0.00341,0.2259107,0.0004082,4.08e-05,-0.2017212,0.0237244,0.0064406,0.0041718,-2.1550686,-0.4584679,-0.0430388,-22.7604023,-0.0102252,-0.001265,-0.0001265,-0.0427811,-0.8814995,-0.043745,1.99e-05,0.0006817,-0.0052769,-0.0876248,0.0005101,-0.0115461,-7.9e-06,-8e-07,0.0057599,0.0012485,-0.0108108
4,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_004,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_004\vv_0p00600_wtip_1p50000.vsp3,[],[],101.05590420000954,101.05459110002266,0.2808573000365868,100.60763840004802,0.0007807000074535608,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_004\vv_0p00600_wtip_1p50000.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.8701769,6.0208885,0.0456102,-0.0010164,5.0983026,0.0003679,0.1220179,0.0122018,0.0149408,0.1304846,-0.0082728,0.0217885,0.1500711,-0.000537,-0.0182904,-1.3150412,-9.99e-05,0.003242,0.0003242,0.0003023,-0.000792,-0.0003005,-6.4e-05,0.0031743,-0.1317596,-0.345563,0.0051121,0.1278547,-3.44e-05,-3.4e-06,-0.0832218,-0.0019629,0.0597382,4.1e-06,-0.010754,-0.1749838,-0.7802649,-0.0184968,0.2231054,-0.000101,-1.01e-05,-0.2068097,-0.0073721,-0.0037321,0.0043035,-1.902769,-0.0732562,-0.0393357,-24.8611208,-0.0041935,-0.001503,-0.0001503,-0.0084707,-1.0630213,-0.0207128,2.07e-05,-0.0021724,-0.0078368,-0.0879127,-0.0051554,-0.0114599,3e-07,0.0,0.0059026,-0.000161,-0.0106921
5,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_005,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_005\vv_0p00600_wtip_1p50000.vsp3,[],[],121.15914390003309,121.15793769998709,0.30736410000827163,120.6827119999798,0.0008391999872401357,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_005\vv_0p00600_wtip_1p50000.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.8701623,5.9715514,-0.0034491,0.0006911,5.1655849,0.0033739,0.1222579,0.0122258,0.0015378,0.1523334,3.74e-05,0.021787,0.1501405,-0.000177,-0.0182323,-1.3140886,-1.33e-05,0.0032501,0.000325,0.0001486,-0.0002815,-8.3e-06,-6.84e-05,-0.003076,-0.1379162,-0.3454553,-0.0030954,0.128115,-9.1e-06,-9e-07,-0.0840374,0.000147,0.0600444,-6.3e-06,-0.004817,-0.1685982,-0.7795683,-0.0116385,0.2240356,-2.5e-06,-3e-07,-0.2080762,-0.0001117,0.0001115,0.0042338,-1.8325423,-0.0482056,-0.035695,-24.9069612,-0.0015925,-0.0014989,-0.0001499,-0.0002876,-1.0675951,-0.0028825,2.09e-05,-0.000217,-0.0053396,-0.0878958,-0.0031547,-0.0115438,1.8e-06,2e-07,0.0060046,-0.0001582,-0.0105918
6,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_006,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_006\vv_0p00600_wtip_1p50000.vsp3,[],[],140.33205849997466,140.33090149995405,0.33153250004397705,139.74710430001142,0.0007709000492468476,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_006\vv_0p00600_wtip_1p50000.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.8701611,5.9705542,-0.0021484,0.0006456,5.1756685,0.0032262,0.1222456,0.0122246,-0.0003355,0.1514784,0.0002008,0.0217868,0.1502958,1.22e-05,-0.0182356,-1.3139575,-7.3e-06,0.00325,0.000325,0.0001064,-0.000335,3.1e-06,-6.87e-05,-0.0021106,-0.1367234,-0.3454041,-0.0033801,0.1281123,-6.4e-06,-6e-07,-0.0842382,-4.31e-05,0.0601616,-6.4e-06,-0.004657,-0.1661585,-0.7793956,-0.0108723,0.2239908,5e-07,0.0,-0.2087799,-0.000466,0.0002606,0.0042109,-1.7868342,0.0004433,-0.0352086,-24.9211731,-0.0007081,-0.0014408,-0.0001441,-0.0003023,-1.0672812,-0.0003271,2.1e-05,-0.0004321,-0.005472,-0.0878715,-0.0030208,-0.011605,1.5e-06,2e-07,0.0060043,-0.0001379,-0.010604
7,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_007,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_007\vv_0p00600_wtip_1p50000.vsp3,[],[],155.85010059998604,155.8489511999651,0.2898418999975547,155.39116459997604,0.0007857999880798161,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_007\vv_0p00600_wtip_1p50000.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.8701564,5.9758143,0.0014765,0.0005079,5.1714991,0.0032958,0.1222406,0.0122241,-0.0004024,0.1518747,0.0001999,0.0217868,0.1504356,6.52e-05,-0.0182182,-1.3126306,-2.5e-06,0.0032543,0.0003254,0.0001007,-0.0003037,1.3e-06,-6.87e-05,-0.0015365,-0.1367051,-0.3453828,-0.0036245,0.1281178,-6.4e-06,-6e-07,-0.0842115,-0.0001309,0.060208,-6.2e-06,-0.0028446,-0.1654457,-0.7793079,-0.0113243,0.223998,1e-07,0.0,-0.2087291,-0.0004443,0.0003156,0.0042119,-1.7798651,0.0063268,-0.0351761,-24.9231609,-0.0005976,-0.0014148,-0.0001415,0.0001485,-1.0689118,0.0001563,2.1e-05,-0.0004496,-0.0048387,-0.0878397,-0.0029962,-0.011604,1.5e-06,1e-07,0.0060006,-0.000119,-0.0106101
8,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_008,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_008\vv_0p00600_wtip_1p50000.vsp3,[],[],169.4344870999921,169.4334596999688,0.2846181999775581,168.98634659999516,0.0007570000016130507,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_008\vv_0p00600_wtip_1p50000.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.8701512,5.9798578,0.0012523,0.0004982,5.17428,0.0033474,0.1222456,0.0122246,-0.0001881,0.1520353,0.0001867,0.0217872,0.1506111,0.0001268,-0.0182275,-1.3128702,-3.46e-05,0.0032502,0.000325,0.0001147,-0.0002995,8e-06,-6.88e-05,-0.0009399,-0.1367866,-0.3453444,-0.0032268,0.1281175,-5.9e-06,-6e-07,-0.0841917,-8.73e-05,0.0601948,-6.4e-06,-0.0016652,-0.1656385,-0.7791588,-0.0105153,0.2239928,1.2e-06,1e-07,-0.2086729,-0.0004098,0.0002942,0.0042141,-1.7789994,0.0040267,-0.0350828,-24.9229006,-0.0005993,-0.0014418,-0.0001442,0.0002823,-1.0690378,0.0002806,2.1e-05,-0.0004134,-0.0054184,-0.0878317,-0.0029835,-0.0116042,1.5e-06,2e-07,0.0060039,-0.0001169,-0.0106061
9,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_009,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_009\vv_0p00600_wtip_1p50000.vsp3,[],[],184.3958616000018,184.3945879000239,0.28148239996517077,183.94939199998043,0.000825399998575449,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_009\vv_0p00600_wtip_1p50000.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.8701483,5.9779097,0.0013886,0.0003926,5.1685745,0.0033451,0.1222397,0.012224,-0.0004527,0.1517672,-0.0002379,0.0217876,0.1505884,0.0001369,-0.0182364,-1.3137366,-5.55e-05,0.0032474,0.0003247,0.0001081,-0.0003021,-2.8e-06,-6.87e-05,-0.0011197,-0.1366973,-0.3453202,-0.0038872,0.1281125,-6.3e-06,-6e-07,-0.0842182,-0.0001062,0.0601362,-6.2e-06,-0.0016123,-0.1649816,-0.7790582,-0.0119923,0.2239867,7e-07,1e-07,-0.2087155,-0.0004408,0.0001892,0.0042151,-1.7777349,0.0068762,-0.0350074,-24.920396,-0.0006159,-0.0014348,-0.0001435,0.0003028,-1.068934,0.0001678,2.1e-05,-0.0004154,-0.0056444,-0.0878054,-0.0029518,-0.011601,1.5e-06,1e-07,0.0060025,-0.000125,-0.0106042
10,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_010,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_010\vv_0p00600_wtip_1p50000.vsp3,[],[],198.81812799995532,198.8169721000013,0.2893387000076473,198.3634198999498,0.0007615000358782709,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_010\vv_0p00600_wtip_1p50000.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.8701452,5.9740347,-0.0009036,0.0003746,5.1712577,0.0033939,0.1222429,0.0122243,-8.94e-05,0.1521301,6e-07,0.0217876,0.1505187,7.09e-05,-0.0182337,-1.3133708,-5.42e-05,0.0032504,0.000325,0.000115,-0.0002899,1.9e-06,-6.88e-05,-0.0012826,-0.1369612,-0.3452845,-0.0032901,0.12812,-5e-06,-5e-07,-0.0841695,-5.88e-05,0.0601665,-6.4e-06,-0.0023493,-0.1658203,-0.7789297,-0.0106313,0.2240008,3.5e-06,4e-07,-0.208595,-0.0003173,0.0002375,0.0042168,-1.7785135,-0.0001804,-0.0349505,-24.9201881,-0.0005601,-0.0014116,-0.0001412,3.47e-05,-1.0690072,1.42e-05,2.1e-05,-0.0004151,-0.0056423,-0.087773,-0.0031317,-0.0116147,1.4e-06,1e-07,0.0059999,-0.0001281,-0.0106078
12,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_012,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_012\vv_0p00600_wtip_1p50000.vsp3,[],[],226.44308740005363,226.44193660002202,0.2869868000270799,225.98978380003246,0.0007689000340178609,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_012\vv_0p00600_wtip_1p50000.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.8701419,5.9748404,-0.0005459,0.0001134,5.1636005,0.0033303,0.1222283,0.0122228,-9e-05,0.1520054,-8.63e-05,0.0217876,0.1505528,-1.97e-05,-0.0182139,-1.313013,-5.6e-05,0.0032494,0.0003249,0.0001154,-0.0002883,-1.8e-06,-6.88e-05,-0.0011808,-0.1367556,-0.3452262,-0.0036356,0.128117,-6.1e-06,-6e-07,-0.0841586,-7.34e-05,0.0601574,-6.4e-06,-0.0020449,-0.1653516,-0.7787066,-0.0114428,0.2239901,5e-07,1e-07,-0.2085759,-0.0003455,0.0002215,0.0042206,-1.7787526,0.0004219,-0.034959,-24.9182851,-0.0008035,-0.0014367,-0.0001437,0.0001117,-1.069243,-0.0002802,2.1e-05,-0.0004206,-0.0054207,-0.0877072,-0.0029597,-0.0115874,1.4e-06,1e-07,0.0060004,-0.0001263,-0.0106062
15,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_015,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_015\vv_0p00600_wtip_1p50000.vsp3,[],[],268.17927909997525,268.1782391999732,0.2762828999548219,267.73501760000363,0.0007601999677717686,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_015\vv_0p00600_wtip_1p50000.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.870139,5.9741165,-0.0011782,-0.0005005,5.1608961,0.0033307,0.122223,0.0122223,-0.0001801,0.1518201,-9.2e-06,0.0217876,0.1505698,-5.21e-05,-0.0181856,-1.3126074,-5.12e-05,0.0032502,0.000325,0.0001131,-0.0002903,7e-07,-6.88e-05,-0.0010847,-0.1367231,-0.3451081,-0.0034447,0.1281227,-5.4e-06,-5e-07,-0.0841619,-8.72e-05,0.0601734,-6.4e-06,-0.0019884,-0.1653226,-0.7782712,-0.010966,0.2239972,1.9e-06,2e-07,-0.2085909,-0.0003735,0.0002521,0.0042217,-1.7798457,0.0014715,-0.0344,-24.9158275,-0.0008131,-0.0014321,-0.0001432,4.25e-05,-1.0692911,-0.0002585,2.1e-05,-0.0004222,-0.0054521,-0.0875807,-0.002967,-0.0115592,1.4e-06,1e-07,0.0060021,-0.0001245,-0.0106072
20,True,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_020,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_020\vv_0p00600_wtip_1p50000.vsp3,[],[],338.05567259999225,338.0545006999746,0.3052031999686733,337.5863691000268,0.000778700050432235,C:\Users\mtkbirdman\OneDrive\Documents\OpenVSP\examples\notebooks\wake_iter_sensitivity.vv_0p00600_wtip_1p50000\wake_iter_020\vv_0p00600_wtip_1p50000.stab,18.0,0.625,27.0,10.0,1.225,0.0,0.0,"{'ConGrp_1': 'AILERON_GROUP', 'ConGrp_2': 'ELEVATOR_GROUP', 'ConGrp_3': 'RUDDER_GROUP'}",0.8701364,5.9732578,-0.0011659,-0.0056506,5.17396,0.0033295,0.1222151,0.0122215,-0.0001344,0.1518686,-1.08e-05,0.0217876,0.1505495,6.1e-05,-0.0186994,-1.3131787,-5.04e-05,0.00325,0.000325,0.0001144,-0.0002891,1e-07,-6.88e-05,-0.0011327,-0.136717,-0.3443702,-0.0035274,0.1281224,-5.4e-06,-5e-07,-0.0841563,-8.59e-05,0.0601679,-6.4e-06,-0.002097,-0.1653253,-0.7709759,-0.0110757,0.2239965,2e-06,2e-07,-0.2085739,-0.0003755,0.0002385,0.0042232,-1.7800868,0.0003632,-0.0407113,-24.9223286,-0.0009602,-0.0014324,-0.0001432,4.79e-05,-1.0693575,-0.0003182,2.1e-05,-0.0004214,-0.0053892,-0.0888281,-0.0029536,-0.011566,1.4e-06,1e-07,0.0060031,-0.0001249,-0.0106067
